BEA1,BEA2,BEA3,BEA4,BEA5,BEA6,BEA7,BEA8,latitude,longitude,type,timestamp,
-101,-103,-86,-77,-83,-90,-100,-88,1.346180868,103.6817507,truth,1.62917E+12,
-70,-84,-83,-83,-95,-90,-94,-79,1.346183932,103.6817381,pseudo,1.62917E+12,
-70,-76,-85,-88,-92,-93,-93,-87,1.346186997,103.6817255,pseudo,1.62917E+12,
-73,-78,-76,-88,-95,-90,-94,-92,1.346190061,103.6817129,pseudo,1.62917E+12,
-75,-72,-80,-83,-96,-92,-94,-74,1.346193126,103.6817003,pseudo,1.62917E+12,
-81,-65,-75,-79,-90,-84,-94,-72,1.34619619,103.6816877,pseudo,1.62917E+12,
-82,-74,-75,-87,-92,-97,-96,-74,1.346199255,103.6816751,pseudo,1.62917E+12,
-80,-66,-71,-83,-86,-70,-82,-74,1.346202319,103.6816625,truth,1.62917E+12,
-78,-80,-56,-77,-87,-71,-80,-58,1.346201927,103.6816496,pseudo,1.62917E+12,
-91,-92,-68,-78,-80,-80,-76,-61,1.346201534,103.6816366,pseudo,1.62917E+12,
-76,-79,-74,-89,-89,-76,-78,-61,1.346201142,103.6816237,pseudo,1.62917E+12,
-71,-92,-79,-79,-85,-92,-85,-70,1.346200749,103.6816107,pseudo,1.62917E+12,
-77,-79,-73,-76,-79,-84,-97,-75,1.346200643,103.6816072,truth,1.62917E+12,
-85,-83,-84,-76,-78,-74,-82,-71,1.346200643,103.6815942,pseudo,1.62917E+12,
-77,-84,-80,-70,-93,-77,-88,-84,1.346200643,103.6815813,pseudo,1.62917E+12,
-78,-82,-74,-67,-73,-84,-77,-75,1.346200643,103.6815683,pseudo,1.62917E+12,
-86,-89,-78,-72,-72,-80,-86,-82,1.346200643,103.6815554,pseudo,1.62917E+12,
-81,-86,-69,-63,-80,-85,-84,-80,1.346200643,103.6815509,truth,1.62917E+12,
-92,-92,-86,-59,-70,-98,-84,-78,1.346200643,103.6815379,pseudo,1.62917E+12,
-93,-94,-88,-68,-77,-82,-87,-89,1.346200643,103.681525,pseudo,1.62917E+12,
-94,-97,-90,-76,-70,-82,-91,-77,1.346200643,103.6815137,truth,1.62917E+12,
-94,-102,-92,-76,-82,-91,-88,-91,1.346200643,103.6815007,pseudo,1.62917E+12,
-88,-94,-98,-87,-80,-88,-89,-80,1.346200643,103.6814865,truth,1.62917E+12,
-92,-98,-84,-72,-68,-85,-88,-90,1.346187683,103.6814865,pseudo,1.62917E+12,
-91,-102,-97,-85,-84,-87,-92,-86,1.346174722,103.6814865,pseudo,1.62917E+12,
-92,-92,-85,-73,-56,-90,-83,-75,1.346161762,103.6814865,truth,1.62917E+12,
-98,-92,-92,-80,-67,-91,-83,-84,1.346148801,103.6814865,pseudo,1.62917E+12,
-89,-96,-75,-83,-69,-85,-84,-84,1.34613584,103.6814865,pseudo,1.62917E+12,
-89,-93,-82,-77,-66,-91,-78,-91,1.34612288,103.6814865,pseudo,1.62917E+12,
-85,-93,-84,-78,-71,-84,-85,-83,1.346109809,103.6814865,truth,1.62917E+12,
-96,-88,-97,-69,-75,-91,-88,-76,1.346109809,103.6814995,pseudo,1.62917E+12,
-90,-94,-82,-71,-84,-85,-86,-83,1.346109809,103.6815124,pseudo,1.62917E+12,
-88,-91,-77,-66,-74,-89,-89,-93,1.346109809,103.6815254,pseudo,1.62917E+12,
-91,-85,-80,-66,-77,-92,-84,-78,1.346109809,103.6815384,pseudo,1.62917E+12,
-98,-98,-77,-70,-81,-87,-80,-82,1.346109809,103.6815513,pseudo,1.62917E+12,
-93,-85,-78,-78,-72,-95,-74,-86,1.346109809,103.6815609,truth,1.62917E+12,
-94,-87,-84,-80,-78,-65,-70,-76,1.346109809,103.6815739,pseudo,1.62917E+12,
-89,-92,-85,-78,-85,-77,-72,-76,1.346109809,103.6815869,pseudo,1.62917E+12,
-90,-88,-73,-80,-84,-92,-70,-76,1.346109809,103.6815998,pseudo,1.62917E+12,
-94,-85,-74,-73,-85,-80,-74,-76,1.346109809,103.6816128,pseudo,1.62917E+12,
-94,-93,-73,-82,-77,-83,-74,-74,1.346109809,103.6816258,pseudo,1.62917E+12,
-93,-97,-77,-82,-80,-89,-64,-77,1.346109809,103.6816387,pseudo,1.62917E+12,
-89,-82,-80,-96,-81,-89,-61,-92,1.346109809,103.6816421,truth,1.62917E+12,
-91,-79,-78,-81,-77,-80,-73,-83,1.34612277,103.6816421,pseudo,1.62917E+12,
-82,-73,-76,-77,-74,-80,-74,-75,1.34613573,103.6816421,pseudo,1.62917E+12,
-92,-83,-75,-71,-85,-75,-76,-75,1.346148691,103.6816421,pseudo,1.62917E+12,
-85,-82,-71,-68,-85,-80,-77,-65,1.346153383,103.6816421,truth,1.62917E+12,
-92,-77,-64,-79,-82,-68,-92,-70,1.346166343,103.6816421,pseudo,1.62917E+12,
-80,-72,-57,-89,-87,-81,-82,-70,1.346179304,103.6816421,pseudo,1.62917E+12,
-77,-71,-74,-90,-100,-76,-86,-62,1.34618489,103.6816421,truth,1.62917E+12,
-83,-77,-68,-97,-81,-70,-89,-58,1.34618489,103.681655,pseudo,1.62917E+12,
-73,-57,-72,-86,-97,-90,-94,-67,1.34618489,103.6816639,truth,1.62917E+12,
-91,-77,-82,-80,-84,-84,-91,-68,1.34618489,103.6816639,truth,1.62917E+12,
-74,-74,-63,-74,-80,-77,-78,-64,1.346184946,103.6816509,pseudo,1.62917E+12,
-87,-76,-70,-74,-84,-82,-80,-62,1.346184984,103.6816422,truth,1.62917E+12,
-88,-84,-71,-74,-82,-75,-73,-85,1.346172023,103.6816422,pseudo,1.62917E+12,
-83,-81,-76,-65,-75,-70,-76,-79,1.346159062,103.6816422,pseudo,1.62917E+12,
