,BEA1,BEA2,BEA3,BEA4,BEA5,BEA6,BEA7,BEA8,latitude_3414,longitude_3414,type,timestamp
0,-101,-103,-86,-77,-83,-90,-100,-88,36479.88115,11132.14677,truth,1.62917E+12
1,-70,-84,-83,-83,-95,-90,-94,-79,36480.22004,11130.74454,pseudo,1.62917E+12
2,-70,-76,-85,-88,-92,-93,-93,-87,36480.55904,11129.34232,pseudo,1.62917E+12
3,-73,-78,-76,-88,-95,-90,-94,-92,36480.89793,11127.94009,pseudo,1.62917E+12
4,-75,-72,-80,-83,-96,-92,-94,-74,36481.23693,11126.53787,pseudo,1.62917E+12
5,-81,-65,-75,-79,-90,-84,-94,-72,36481.57582,11125.13564,pseudo,1.62917E+12
6,-82,-74,-75,-87,-92,-97,-96,-74,36481.91482,11123.73342,pseudo,1.62917E+12
7,-80,-66,-71,-83,-86,-70,-82,-74,36482.25371,11122.33119,truth,1.62917E+12
8,-78,-80,-56,-77,-87,-71,-80,-58,36482.21046,11120.89556,pseudo,1.62917E+12
9,-91,-92,-68,-78,-80,-80,-76,-61,36482.16709,11119.44879,pseudo,1.62917E+12
10,-76,-79,-74,-89,-89,-76,-78,-61,36482.12384,11118.01316,pseudo,1.62917E+12
11,-71,-92,-79,-79,-85,-92,-85,-70,36482.08047,11116.56639,pseudo,1.62917E+12
12,-77,-79,-73,-76,-79,-84,-97,-75,36482.06877,11116.17688,truth,1.62917E+12
13,-85,-83,-84,-76,-78,-74,-82,-71,36482.06886,11114.73012,pseudo,1.62917E+12
14,-77,-84,-80,-70,-93,-77,-88,-84,36482.06895,11113.29449,pseudo,1.62917E+12
15,-78,-82,-74,-67,-73,-84,-77,-75,36482.06904,11111.84772,pseudo,1.62917E+12
16,-86,-89,-78,-72,-72,-80,-86,-82,36482.06913,11110.41209,pseudo,1.62917E+12
17,-81,-86,-69,-63,-80,-85,-84,-80,36482.06916,11109.91129,truth,1.62917E+12
18,-92,-92,-86,-59,-70,-98,-84,-78,36482.06925,11108.46453,pseudo,1.62917E+12
19,-93,-94,-88,-68,-77,-82,-87,-89,36482.06934,11107.0289,pseudo,1.62917E+12
20,-94,-97,-90,-76,-70,-82,-91,-77,36482.06942,11105.77133,truth,1.62917E+12
21,-94,-102,-92,-76,-82,-91,-88,-91,36482.06951,11104.32456,pseudo,1.62917E+12
22,-88,-94,-98,-87,-80,-88,-89,-80,36482.06961,11102.74425,truth,1.62917E+12
23,-92,-98,-84,-72,-68,-85,-88,-90,36480.63655,11102.74417,pseudo,1.62917E+12
24,-91,-102,-97,-85,-84,-87,-92,-86,36479.20339,11102.74408,pseudo,1.62917E+12
25,-92,-92,-85,-73,-56,-90,-83,-75,36477.77033,11102.74399,truth,1.62917E+12
26,-98,-92,-92,-80,-67,-91,-83,-84,36476.33717,11102.7439,pseudo,1.62917E+12
27,-89,-96,-75,-83,-69,-85,-84,-84,36474.904,11102.74381,pseudo,1.62917E+12
28,-89,-93,-82,-77,-66,-91,-78,-91,36473.47094,11102.74372,pseudo,1.62917E+12
29,-85,-93,-84,-78,-71,-84,-85,-83,36472.02561,11102.74363,truth,1.62917E+12
30,-96,-88,-97,-69,-75,-91,-88,-76,36472.02552,11104.19039,pseudo,1.62917E+12
31,-90,-94,-82,-71,-84,-85,-86,-83,36472.02543,11105.62602,pseudo,1.62917E+12
32,-88,-91,-77,-66,-74,-89,-89,-93,36472.02534,11107.07279,pseudo,1.62917E+12
33,-91,-85,-80,-66,-77,-92,-84,-78,36472.02525,11108.51955,pseudo,1.62917E+12
34,-98,-98,-77,-70,-81,-87,-80,-82,36472.02517,11109.95518,pseudo,1.62917E+12
35,-93,-85,-78,-78,-72,-95,-74,-86,36472.0251,11111.02356,truth,1.62917E+12
36,-94,-87,-84,-80,-78,-65,-70,-76,36472.02501,11112.47032,pseudo,1.62917E+12
37,-89,-92,-85,-78,-85,-77,-72,-76,36472.02492,11113.91708,pseudo,1.62917E+12
38,-90,-88,-73,-80,-84,-92,-70,-76,36472.02483,11115.35271,pseudo,1.62917E+12
39,-94,-85,-74,-73,-85,-80,-74,-76,36472.02474,11116.79948,pseudo,1.62917E+12
40,-94,-93,-73,-82,-77,-83,-74,-74,36472.02465,11118.24624,pseudo,1.62917E+12
41,-93,-97,-77,-82,-80,-89,-64,-77,36472.02456,11119.68187,pseudo,1.62917E+12
42,-89,-82,-80,-96,-81,-89,-61,-92,36472.02454,11120.06025,truth,1.62917E+12
43,-91,-79,-78,-81,-77,-80,-73,-83,36473.4577,11120.06034,pseudo,1.62917E+12
44,-82,-73,-76,-77,-74,-80,-74,-75,36474.89076,11120.06043,pseudo,1.62917E+12
45,-92,-83,-75,-71,-85,-75,-76,-75,36476.32392,11120.06052,pseudo,1.62917E+12
46,-85,-82,-71,-68,-85,-80,-77,-65,36476.84274,11120.06055,truth,1.62917E+12
47,-92,-77,-64,-79,-82,-68,-92,-70,36478.2758,11120.06064,pseudo,1.62917E+12
48,-80,-72,-57,-89,-87,-81,-82,-70,36479.70897,11120.06073,pseudo,1.62917E+12
49,-77,-71,-74,-90,-100,-76,-86,-62,36480.32664,11120.06077,truth,1.62917E+12
50,-83,-77,-68,-97,-81,-70,-89,-58,36480.32655,11121.4964,pseudo,1.62917E+12
51,-73,-57,-72,-86,-97,-90,-94,-67,36480.32649,11122.48688,truth,1.62917E+12
52,-91,-77,-82,-80,-84,-84,-91,-68,36480.32649,11122.48688,truth,1.62917E+12
53,-74,-74,-63,-74,-80,-77,-78,-64,36480.33277,11121.04012,pseudo,1.62917E+12
54,-87,-76,-70,-74,-84,-82,-80,-62,36480.33703,11120.0719,truth,1.62917E+12
55,-88,-84,-71,-74,-82,-75,-73,-85,36478.90387,11120.07181,pseudo,1.62917E+12
56,-83,-81,-76,-65,-75,-70,-76,-79,36477.4707,11120.07172,pseudo,1.62917E+12
57,-83,-86,-80,-69,-78,-71,-79,-74,36476.8182,11120.07168,truth,1.62917E+12
58,-85,-89,-86,-77,-72,-72,-64,-82,36475.38503,11120.07159,pseudo,1.62917E+12
59,-92,-87,-78,-78,-77,-89,-67,-96,36473.95197,11120.06037,pseudo,1.62917E+12
60,-97,-87,-76,-80,-80,-78,-69,-75,36472.51881,11120.06029,pseudo,1.62917E+12
61,-93,-90,-84,-74,-79,-75,-64,-93,36472.02454,11120.06025,truth,1.62917E+12
62,-95,-80,-71,-80,-69,-72,-82,-73,36472.02463,11118.61349,pseudo,1.62917E+12
63,-87,-91,-72,-89,-76,-65,-73,-72,36472.02472,11117.16673,pseudo,1.62917E+12
64,-90,-88,-86,-70,-68,-67,-84,-71,36472.02481,11115.7311,pseudo,1.62917E+12
65,-83,-85,-69,-70,-76,-76,-78,-82,36472.0249,11114.28434,pseudo,1.62917E+12
