denotation,MACaddr
WAP469,WAP469
WAP497,WAP497
WAP308,WAP308
WAP059,WAP059
WAP054,WAP054
WAP137,WAP137
WAP127,WAP127
WAP225,WAP225
WAP244,WAP244
WAP309,WAP309
WAP081,WAP081
WAP183,WAP183
WAP003,WAP003
WAP376,WAP376
WAP254,WAP254
WAP156,WAP156
WAP343,WAP343
WAP198,WAP198
WAP243,WAP243
WAP241,WAP241
WAP250,WAP250
WAP108,WAP108
WAP278,WAP278
WAP164,WAP164
WAP008,WAP008
WAP295,WAP295
WAP260,WAP260
WAP380,WAP380
WAP445,WAP445
WAP509,WAP509
WAP187,WAP187
WAP471,WAP471
WAP489,WAP489
WAP146,WAP146
WAP148,WAP148
WAP094,WAP094
WAP447,WAP447
WAP236,WAP236
WAP369,WAP369
WAP157,WAP157
WAP288,WAP288
WAP082,WAP082
WAP293,WAP293
WAP450,WAP450
WAP401,WAP401
WAP202,WAP202
WAP520,WAP520
WAP409,WAP409
WAP142,WAP142
WAP238,WAP238
WAP086,WAP086
WAP228,WAP228
WAP072,WAP072
WAP211,WAP211
WAP226,WAP226
WAP237,WAP237
WAP370,WAP370
WAP177,WAP177
WAP234,WAP234
WAP120,WAP120
WAP123,WAP123
WAP500,WAP500
WAP300,WAP300
WAP456,WAP456
WAP336,WAP336
WAP491,WAP491
WAP357,WAP357
WAP482,WAP482
WAP505,WAP505
WAP410,WAP410
WAP106,WAP106
WAP233,WAP233
WAP477,WAP477
WAP128,WAP128
WAP200,WAP200
WAP230,WAP230
WAP235,WAP235
WAP289,WAP289
WAP130,WAP130
WAP327,WAP327
WAP018,WAP018
WAP207,WAP207
WAP415,WAP415
WAP090,WAP090
WAP381,WAP381
WAP155,WAP155
WAP400,WAP400
WAP261,WAP261
WAP110,WAP110
WAP465,WAP465
WAP453,WAP453
WAP121,WAP121
WAP306,WAP306
WAP185,WAP185
WAP031,WAP031
WAP186,WAP186
WAP337,WAP337
WAP371,WAP371
WAP139,WAP139
WAP201,WAP201
WAP455,WAP455
WAP484,WAP484
WAP043,WAP043
WAP193,WAP193
WAP448,WAP448
WAP173,WAP173
WAP383,WAP383
WAP451,WAP451
WAP368,WAP368
WAP174,WAP174
WAP440,WAP440
WAP210,WAP210
WAP162,WAP162
WAP181,WAP181
WAP125,WAP125
WAP143,WAP143
WAP478,WAP478
WAP365,WAP365
WAP446,WAP446
WAP468,WAP468
WAP424,WAP424
WAP251,WAP251
WAP001,WAP001
WAP172,WAP172
WAP119,WAP119
WAP180,WAP180
WAP017,WAP017
WAP285,WAP285
WAP168,WAP168
WAP165,WAP165
WAP219,WAP219
WAP279,WAP279
WAP373,WAP373
WAP311,WAP311
WAP049,WAP049
WAP118,WAP118
WAP290,WAP290
WAP304,WAP304
WAP416,WAP416
WAP037,WAP037
WAP475,WAP475
WAP406,WAP406
WAP078,WAP078
WAP442,WAP442
WAP221,WAP221
WAP472,WAP472
WAP519,WAP519
WAP388,WAP388
WAP435,WAP435
WAP386,WAP386
WAP232,WAP232
WAP080,WAP080
WAP085,WAP085
WAP176,WAP176
WAP025,WAP025
WAP274,WAP274
WAP045,WAP045
WAP105,WAP105
WAP320,WAP320
WAP433,WAP433
